,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,looser,win_by_runs,win_by_wickets,palyer_of_match,venue,umpire1,umpire2
73,74,2008,Bangalore,4/28/2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Royal Challengers Bangalore,13,0,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin
74,75,2008,Kolkata,4/29/2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,Kolkata Knight Riders,0,7,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash
75,76,2008,Delhi,4/30/2008,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Capitals,Royal Challengers Bangalore,10,0,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram
76,77,2008,Hyderabad,5/1/2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Deccan Chargers,0,7,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,RB Tiffin
77,78,2008,Jaipur,5/1/2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,Kolkata Knight Riders,45,0,SA Asnodkar,Sawai Mansingh Stadium,RE Koertzen,GA Pratapkumar
78,79,2008,Chennai,5/2/2008,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Delhi Capitals,Chennai Super Kings,0,8,V Sehwag,"MA Chidambaram Stadium, Chepauk",BF Bowden,K Hariharan
79,80,2008,Hyderabad,5/25/2008,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,Deccan Chargers,0,5,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,RE Koertzen
80,81,2008,Chandigarh,5/3/2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kings XI Punjab,Kolkata Knight Riders,9,0,IK Pathan,"Punjab Cricket Association Stadium, Mohali",DJ Harper,I Shivram
81,82,2008,Mumbai,5/4/2008,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,Delhi Capitals,29,0,SM Pollock,Dr DY Patil Sports Academy,IL Howell,RE Koertzen
82,83,2008,Jaipur,5/4/2008,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,Chennai Super Kings,0,8,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,AV Jayaprakash
83,84,2008,Bangalore,5/5/2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,6,S Sreesanth,M Chinnaswamy Stadium,SJ Davis,BR Doctrove
